Country,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Año
Finland,7.804,10.792,0.969,71.15,0.961,-0.019,0.182,1.888,1.585,0.535,0.772,0.126,0.535,2023
Denmark,7.586,10.962,0.954,71.25,0.934,0.134,0.196,1.949,1.548,0.537,0.734,0.208,0.525,2023
Iceland,7.53,10.896,0.983,72.05,0.936,0.211,0.668,1.926,1.62,0.559,0.738,0.25,0.187,2023
Israel,7.473,10.639,0.943,72.697,0.809,-0.023,0.708,1.833,1.521,0.577,0.569,0.124,0.158,2023
Netherlands,7.403,10.942,0.93,71.55,0.887,0.213,0.379,1.942,1.488,0.545,0.672,0.251,0.394,2023
Sweden,7.395,10.883,0.939,72.15,0.948,0.165,0.202,1.921,1.51,0.562,0.754,0.225,0.52,2023
Norway,7.315,11.088,0.943,71.5,0.947,0.141,0.283,1.994,1.521,0.544,0.752,0.212,0.463,2023
Switzerland,7.24,11.164,0.92,72.9,0.891,0.027,0.266,2.022,1.463,0.582,0.678,0.151,0.475,2023
Luxembourg,7.228,11.66,0.879,71.675,0.915,0.024,0.345,2.2,1.357,0.549,0.71,0.149,0.418,2023
New Zealand,7.123,10.662,0.952,70.35,0.887,0.175,0.271,1.842,1.544,0.513,0.672,0.23,0.471,2023
Austria,7.097,10.899,0.888,71.15,0.855,0.102,0.497,1.927,1.382,0.535,0.63,0.191,0.31,2023
Australia,7.095,10.821,0.934,71.05,0.89,0.198,0.496,1.899,1.497,0.532,0.677,0.242,0.31,2023
Canada,6.961,10.773,0.929,71.4,0.874,0.153,0.42,1.881,1.484,0.541,0.656,0.218,0.364,2023
Ireland,6.911,11.527,0.905,71.3,0.874,0.092,0.358,2.152,1.425,0.539,0.656,0.186,0.409,2023
United States,6.894,11.048,0.919,65.85,0.8,0.137,0.689,1.98,1.46,0.39,0.557,0.21,0.172,2023
Germany,6.892,10.879,0.896,71.3,0.846,0.03,0.42,1.919,1.401,0.539,0.618,0.153,0.365,2023
Belgium,6.859,10.844,0.915,70.899,0.825,0.001,0.549,1.907,1.449,0.528,0.59,0.137,0.273,2023
Czechia,6.845,10.611,0.953,69.05,0.903,0.04,0.859,1.823,1.544,0.477,0.693,0.158,0.05,2023
United Kingdom,6.796,10.704,0.882,70.3,0.852,0.253,0.454,1.857,1.366,0.511,0.626,0.272,0.34,2023
Lithuania,6.763,10.568,0.939,67.397,0.748,-0.145,0.805,1.808,1.511,0.432,0.487,0.059,0.089,2023
France,6.661,10.701,0.909,72.3,0.819,-0.1,0.553,1.856,1.433,0.566,0.582,0.083,0.27,2023
Slovenia,6.65,10.588,0.951,71.052,0.913,0.014,0.771,1.815,1.539,0.532,0.707,0.144,0.113,2023
Costa Rica,6.609,9.952,0.872,70.0,0.895,-0.07,0.768,1.587,1.34,0.503,0.683,0.099,0.116,2023
Romania,6.589,10.339,0.848,67.051,0.856,-0.172,0.929,1.726,1.28,0.423,0.631,0.044,0.0,2023
Singapore,6.587,11.571,0.878,73.8,0.878,0.063,0.146,2.168,1.354,0.607,0.66,0.17,0.561,2023
United Arab Emirates,6.571,11.145,0.826,66.243,0.942,0.096,0.584,2.015,1.223,0.401,0.745,0.188,0.247,2023
Taiwan Province of China,6.535,10.797,0.884,69.6,0.804,-0.129,0.681,1.89,1.372,0.492,0.562,0.067,0.178,2023
Uruguay,6.494,10.037,0.913,67.5,0.895,-0.065,0.575,1.617,1.445,0.435,0.683,0.102,0.254,2023
Slovakia,6.469,10.353,0.953,68.838,0.753,-0.016,0.898,1.731,1.544,0.472,0.494,0.128,0.022,2023
Saudi Arabia,6.463,10.715,0.884,64.399,0.894,-0.081,0.691,1.861,1.37,0.351,0.682,0.093,0.17,2023
Estonia,6.455,10.541,0.946,69.65,0.929,0.032,0.409,1.798,1.526,0.494,0.728,0.153,0.372,2023
Spain,6.436,10.54,0.932,72.35,0.782,-0.066,0.711,1.798,1.491,0.567,0.533,0.101,0.157,2023
Italy,6.405,10.634,0.882,72.05,0.711,-0.074,0.842,1.832,1.365,0.559,0.438,0.097,0.063,2023
Kosovo,6.368,9.359,0.844,65.195,0.861,0.259,0.866,1.374,1.269,0.372,0.639,0.275,0.045,2023
Chile,6.334,10.114,0.889,70.3,0.792,-0.011,0.823,1.645,1.384,0.511,0.546,0.131,0.076,2023
Mexico,6.33,9.85,0.804,65.8,0.856,-0.094,0.768,1.55,1.169,0.389,0.632,0.086,0.115,2023
Malta,6.3,10.661,0.923,71.6,0.886,0.119,0.729,1.841,1.468,0.547,0.671,0.2,0.143,2023
Panama,6.265,10.305,0.896,68.95,0.855,-0.133,0.878,1.714,1.402,0.475,0.63,0.065,0.036,2023
Poland,6.26,10.453,0.925,69.049,0.765,-0.031,0.736,1.767,1.474,0.477,0.511,0.12,0.139,2023
Nicaragua,6.259,8.618,0.853,65.65,0.877,0.021,0.625,1.109,1.292,0.385,0.66,0.148,0.218,2023
Latvia,6.213,10.37,0.937,66.4,0.818,-0.056,0.83,1.737,1.505,0.405,0.58,0.107,0.071,2023
Bahrain,6.173,10.776,0.844,65.825,0.944,0.117,0.737,1.883,1.269,0.389,0.748,0.199,0.138,2023
Guatemala,6.15,9.116,0.812,62.9,0.856,-0.057,0.837,1.287,1.188,0.31,0.631,0.106,0.066,2023
Kazakhstan,6.144,10.166,0.931,65.802,0.853,0.0,0.721,1.664,1.491,0.389,0.628,0.136,0.149,2023
Serbia,6.144,9.854,0.873,67.088,0.845,0.204,0.816,1.552,1.343,0.424,0.617,0.246,0.081,2023
Cyprus,6.13,10.611,0.826,72.802,0.724,-0.06,0.86,1.824,1.224,0.58,0.455,0.104,0.05,2023
Japan,6.129,10.616,0.894,74.349,0.799,-0.237,0.64,1.825,1.396,0.622,0.556,0.009,0.207,2023
Croatia,6.125,10.341,0.917,68.95,0.757,-0.093,0.925,1.727,1.455,0.475,0.5,0.087,0.003,2023
Brazil,6.125,9.582,0.836,65.749,0.801,-0.009,0.738,1.454,1.25,0.387,0.558,0.131,0.137,2023
El Salvador,6.122,9.089,0.755,65.597,0.918,-0.108,0.62,1.278,1.044,0.383,0.713,0.079,0.222,2023
Hungary,6.041,10.419,0.943,67.5,0.758,-0.059,0.839,1.754,1.519,0.435,0.501,0.105,0.065,2023
Argentina,6.024,9.959,0.891,67.2,0.823,-0.089,0.814,1.59,1.388,0.427,0.587,0.088,0.082,2023
Honduras,6.023,8.635,0.766,64.063,0.843,0.097,0.843,1.115,1.072,0.341,0.613,0.189,0.062,2023
Uzbekistan,6.014,8.948,0.875,65.301,0.938,0.23,0.638,1.227,1.347,0.375,0.74,0.26,0.208,2023
Malaysia,6.012,10.169,0.799,65.662,0.877,0.16,0.758,1.665,1.155,0.385,0.659,0.222,0.122,2023
Portugal,5.968,10.429,0.878,71.25,0.902,-0.196,0.878,1.758,1.356,0.537,0.693,0.031,0.037,2023
South Korea,5.951,10.693,0.812,73.65,0.717,-0.046,0.701,1.853,1.188,0.603,0.446,0.112,0.163,2023
Greece,5.931,10.288,0.835,71.15,0.568,-0.24,0.793,1.708,1.247,0.535,0.248,0.008,0.097,2023
Mauritius,5.902,9.957,0.888,63.85,0.813,-0.028,0.775,1.589,1.382,0.336,0.574,0.121,0.11,2023
Thailand,5.843,9.751,0.874,68.45,0.85,0.289,0.91,1.515,1.344,0.461,0.624,0.291,0.013,2023
Mongolia,5.84,9.372,0.933,60.5,0.701,0.19,0.849,1.379,1.494,0.244,0.425,0.239,0.058,2023
Kyrgyzstan,5.825,8.486,0.911,66.852,0.934,0.181,0.904,1.061,1.439,0.417,0.735,0.234,0.018,2023
Moldova,5.819,9.499,0.857,65.299,0.84,-0.08,0.901,1.425,1.302,0.375,0.61,0.093,0.02,2023
China,5.818,9.738,0.836,68.689,0.882,-0.041,0.727,1.51,1.249,0.468,0.666,0.115,0.145,2023
Vietnam,5.763,9.287,0.821,65.502,0.939,-0.004,0.759,1.349,1.212,0.381,0.741,0.134,0.122,2023
Paraguay,5.738,9.51,0.906,65.9,0.891,0.021,0.843,1.428,1.427,0.392,0.678,0.148,0.062,2023
Montenegro,5.722,9.813,0.89,67.1,0.805,0.063,0.844,1.537,1.385,0.424,0.563,0.17,0.061,2023
Jamaica,5.703,9.165,0.867,66.6,0.822,-0.106,0.875,1.305,1.329,0.411,0.587,0.079,0.039,2023
Bolivia,5.684,8.985,0.811,63.599,0.868,-0.063,0.846,1.24,1.187,0.329,0.648,0.103,0.06,2023
Russia,5.661,10.21,0.889,64.947,0.719,-0.03,0.801,1.68,1.383,0.366,0.449,0.12,0.091,2023
Bosnia and Herzegovina,5.633,9.616,0.88,67.275,0.746,0.206,0.918,1.467,1.361,0.429,0.485,0.247,0.008,2023
Colombia,5.63,9.584,0.822,69.35,0.804,-0.104,0.834,1.455,1.213,0.486,0.562,0.08,0.068,2023
Dominican Republic,5.569,9.811,0.827,64.399,0.85,-0.099,0.657,1.536,1.227,0.351,0.623,0.083,0.195,2023
Ecuador,5.559,9.27,0.806,69.0,0.802,-0.108,0.833,1.343,1.173,0.476,0.56,0.079,0.069,2023
Peru,5.526,9.402,0.798,69.85,0.794,-0.119,0.892,1.39,1.153,0.499,0.549,0.073,0.027,2023
Philippines,5.523,8.979,0.78,62.038,0.919,-0.06,0.732,1.238,1.108,0.286,0.714,0.104,0.141,2023
Bulgaria,5.466,10.087,0.918,66.5,0.801,-0.057,0.911,1.635,1.457,0.408,0.557,0.106,0.013,2023
Nepal,5.36,8.256,0.748,61.847,0.808,0.146,0.783,0.979,1.027,0.281,0.567,0.215,0.104,2023
